x;y;z;temperature;co2;humidity
3.4;1.6;1.5;22.75757408;482.1370239;44.3049736
3.4;7;1.5;24.02488518;523.1877441;41.84968185
3.4;12;1.5;21.91299629;523.1877441;43.24773788
10.2;1.6;1.5;22.73964691;518.0397949;44.20108032
10.2;13;1.5;20.78514481;591.428833;46.14040756
19.3;1.6;1.5;21.98399162;489.3630371;42.58230972
19.3;7;1.5;21.15906143;547.0856934;42.99808884
19.3;15;1.5;20.62371635;517.5188599;47.61281967
28;1.6;1.5;22.63825607;471.237793;41.49074936
34;1.6;1.5;23.48953438;477.0915222;40.03641129
34;4.8;1.5;23.40974808;495.2009888;39.11312866
30;4.8;1.5;22.75419044;493.3595276;40.67845535
25;4.8;1.5;21.98418427;502.910553;40.92254257
25;10;1.5;21.30168533;508.1947632;44.65917587
25;15;1.5;21.05005264;469.4745483;46.01608658
40;1.6;1.5;24.03345108;510.1554565;39.38730621
45.5;1.6;1.5;24.42596626;567.7071533;38.53170013
45.5;5;1.5;24.71979523;522.1591187;36.0786171
45.5;12;1.5;24.22137833;473.6290588;37.34404373
